energy_eV,intensity
8341.673189,0.15176647
8342.196339,0.16231607
8342.592237,0.17473331
8342.903299,0.18642955
8343.157805,0.19902787
8343.384032,0.21149389
8343.581981,0.22296339
8343.751651,0.2355969
8343.9496,0.24810345
8344.147549,0.2601779
8344.373776,0.27347355
8344.551526,0.28443867
8344.850469,0.30031902
8345.131637,0.31341986
8345.377659,0.32575812
8345.660443,0.33894245
8345.900809,0.35087831
8346.155315,0.36212846
8346.40982,0.37374158
8346.664326,0.38512137
8346.862275,0.39628839
8347.088502,0.40833959
8347.343007,0.42109346
8347.569235,0.43472616
8347.795462,0.44745144
8348.021689,0.46108414
8348.219638,0.4740228
8348.417587,0.48536267
8348.615535,0.49704822
8348.813484,0.51119677
8349.039711,0.52457021
8349.23766,0.53755208
8349.40733,0.5489757
8349.605279,0.56182793
8349.803228,0.57597648
8349.94462,0.58584185
8350.119946,0.59944381
8350.340517,0.61750938
8350.510188,0.63178489
8350.665719,0.64605906
8350.849529,0.6594717
8350.990921,0.67322601
8351.132313,0.68862233
8351.296327,0.70419362
8351.420752,0.71550925
8351.579111,0.73035408
8351.703536,0.74571422
8351.88775,0.76217632
8352.0655,0.77867485
8352.244596,0.79381547
8352.44443,0.80930372
8352.602789,0.82426953
8352.81959,0.83667704
8352.998687,0.85096785
8353.196635,0.86193117
8353.474278,0.87339193
8353.689487,0.88471884
8354.197256,0.89616301
8354.75666,0.90065328
8355.204402,0.89952891
8355.451838,0.89104595
8355.699273,0.88072117
8355.946709,0.86960869
8356.194145,0.85876258
8356.476929,0.84624097
8356.731435,0.83278334
8356.957662,0.82061936
8357.155611,0.80948975
8357.35356,0.79745272
8357.579787,0.78464058
8357.806014,0.77156917
8358.032241,0.7578496
8358.258468,0.7468523
8358.484696,0.73416979
8358.739201,0.72180106
8359.021985,0.70917575
8359.304769,0.69706896
8359.615831,0.68588091
8359.98345,0.67353275
8360.379348,0.66238482
8360.831802,0.65162906
8361.39737,0.63962547
8362.019495,0.62841811
8362.64162,0.61838922
8363.263744,0.60972735
8363.885869,0.60125404
8364.507994,0.59438344
8365.130119,0.58902129
8365.752243,0.58578037
8366.374368,0.58527351
8366.996493,0.58717073
8367.618617,0.59095349
8368.240742,0.59652753
8368.862867,0.6023844
8369.484992,0.60809985
8370.107116,0.61202403
8370.729241,0.61425121
8371.351366,0.61482854
8371.97349,0.6127661
8372.595615,0.60943091
8373.21774,0.60487011
8373.839865,0.59936654
8374.461989,0.59301447
8375.084114,0.58661527
8375.706239,0.57927328
8376.328363,0.57164847
8376.950488,0.56407079
8377.572613,0.55720019
8378.194738,0.55070671
8378.816862,0.545156
8379.438987,0.53960529
8380.061112,0.53622296
8380.683236,0.53326488
8381.305361,0.5311553
8381.870929,0.53026598
8382.220369,0.53196544
8382.569809,0.53389321
8382.91925,0.53598272
8383.26869,0.53816742
8383.61813,0.54038074
8383.96757,0.54255613
8384.31701,0.54462702
8384.595081,0.54611437
8384.873152,0.54751598
8385.151223,0.54900728
8385.773348,0.5529786
8386.395472,0.55685564
8387.017597,0.5602613
8387.639722,0.56300701
8388.261847,0.56513992
8388.883971,0.56670716
8389.506096,0.56747304
8390.128221,0.56871031
8390.750345,0.57027755
8391.37247,0.57189194
8391.994595,0.57350632
8392.61672,0.57578064
8393.238844,0.57791355
8393.860969,0.58065926
8394.483094,0.58340497
8395.105218,0.58699918
8395.727343,0.59064053
8396.349468,0.59475326
8396.971593,0.59933739
8397.593717,0.60453431
8398.215842,0.60982552
8398.809688,0.61529789
