energy_eV,intensity
8344.034435,0.21609247
8344.288941,0.23128342
8344.562299,0.24431562
8344.769673,0.25556996
8344.963582,0.26647734
8345.165571,0.2778392
8345.391798,0.29037003
8345.603886,0.30147358
8345.876571,0.31374954
8346.089332,0.32612786
8346.364575,0.33785528
8346.579491,0.34897206
8346.833996,0.36102593
8347.060223,0.37232526
8347.286451,0.38349496
8347.512678,0.3964795
8347.738905,0.4072603
8347.965132,0.42050411
8348.191359,0.43387754
8348.389308,0.44500136
8348.587257,0.45802644
8348.813484,0.4723073
8349.011433,0.48308543
8349.181103,0.49416336
8349.379052,0.50697239
8349.577001,0.5189172
8349.746671,0.53034082
8349.916341,0.54159159
8350.11429,0.55474631
8350.368796,0.57001504
8350.538466,0.58200903
8350.716216,0.5956927
8350.926284,0.61097205
8351.104034,0.62525573
8351.273705,0.63907939
8351.427216,0.65064963
8351.584767,0.66409991
8351.772433,0.68076352
8351.975009,0.6961169
8352.15599,0.70956384
8352.263448,0.72210937
8352.417892,0.73489268
8352.602789,0.75079929
8352.796025,0.76621285
8352.954984,0.77906533
8353.153386,0.79318966
8353.350147,0.80950044
8353.588182,0.82462858
8353.828186,0.83760778
8354.00257,0.84881579
8354.275928,0.85999611
8354.701916,0.87614773
8355.289237,0.8945088
8355.628578,0.89697637
8355.892509,0.89100725
8356.156441,0.88316898
8356.420373,0.87469696
8356.759713,0.86107451
8357.018259,0.84895885
8357.260645,0.83624082
8357.517574,0.82342047
8357.743802,0.8106861
8357.975684,0.79854858
8358.201912,0.78528272
8358.428139,0.7717576
8358.569531,0.76399307
8358.779599,0.75067834
8358.989667,0.73642353
8359.199735,0.72191143
8359.409803,0.70782481
8359.619871,0.69484644
8359.829939,0.68365908
8360.040007,0.67494553
8360.379348,0.66518165
8360.718689,0.65860438
8361.05803,0.6541551
8361.39737,0.65077524
8361.736711,0.64740618
8362.076052,0.64298933
8362.698177,0.63347897
8363.320301,0.62656123
8363.942426,0.62072769
8364.564551,0.61522412
8365.186675,0.60988291
8365.813513,0.60531733
8366.409172,0.60286963
8367.05305,0.60376891
8367.675174,0.60609038
8368.297299,0.61029739
8368.919424,0.61530576
8369.541548,0.62021986
8370.163673,0.62414404
8370.785798,0.62589983
8371.407923,0.62704283
8372.030047,0.62568747
8372.652172,0.62249369
8373.274297,0.6185457
8373.896421,0.61319533
8374.518546,0.60711431
8375.140671,0.60077571
8375.762795,0.5938445
8376.38492,0.58678535
8377.007045,0.57883057
8377.62917,0.57148858
8378.251294,0.56452371
8378.873419,0.55831306
8379.495544,0.55247951
8380.117668,0.54810727
8380.683236,0.5448453
8381.018807,0.54445214
8381.354377,0.54408456
8381.689947,0.5437419
8382.025518,0.54342349
8382.361088,0.54312865
8382.696658,0.54285673
8383.032229,0.54260705
8383.367799,0.54237893
8383.703369,0.54217173
8384.038939,0.54198475
8384.37451,0.54181735
8384.71008,0.54166883
8385.04565,0.54153855
8385.381221,0.54142582
8385.716791,0.54132998
8386.338916,0.54336861
8386.96104,0.54540724
8387.583165,0.54688021
8388.20529,0.54915453
8388.827414,0.55053322
8389.449539,0.55177049
8390.071664,0.55338487
8390.693789,0.55499925
8391.315913,0.55661363
8391.938038,0.55865226
8392.560163,0.56125656
8393.182287,0.56324805
8393.804412,0.56594662
8394.426537,0.56892803
8395.048662,0.57233368
8395.670786,0.5760693
8396.292911,0.58027632
8396.915036,0.58457761
8397.53716,0.5897274
8398.159285,0.59539571
8398.78141,0.60111116
8399.149029,0.60475202
