energy_eV,intensity
8330.37597,0.10591096
8330.658754,0.10617851
8330.941538,0.10643377
8331.224322,0.10671362
8331.507106,0.10705493
8331.814128,0.1074483
8332.121151,0.10781514
8332.428173,0.1081874
8332.735196,0.10859701
8333.042219,0.10907589
8333.349241,0.10965598
8333.656264,0.11036922
8333.92915,0.11127093
8334.202037,0.11249031
8334.474923,0.11390644
8334.74781,0.11539839
8335.360037,0.11966928
8335.805422,0.12353551
8336.135336,0.12338074
8336.465251,0.12251637
8336.795166,0.12183779
8337.41729,0.12213228
8337.935728,0.12218129
8338.265852,0.12378232
8338.595976,0.12546451
8338.9261,0.12721685
8339.256224,0.12902835
8339.586348,0.13088801
8339.916472,0.13278483
8340.246596,0.13470781
8340.57672,0.13664596
8340.906845,0.13858828
8341.545936,0.14340499
8342.168061,0.15025177
8342.761907,0.15960837
8343.311765,0.17096998
8343.77993,0.18210493
8344.11927,0.19436559
8344.430333,0.20741864
8344.68798,0.21874687
8344.96448,0.23116002
8345.227269,0.24260292
8345.504912,0.25568659
8345.724855,0.26816249
8345.974333,0.27963974
8346.155315,0.2916737
8346.415476,0.30425959
8346.667468,0.31676261
8346.862275,0.32959294
8347.139917,0.34267073
8347.371286,0.35470625
8347.572377,0.3680094
8347.82374,0.38043458
8348.049967,0.39322468
8348.276195,0.40679256
8348.527558,0.41989471
8348.70037,0.43224044
8348.898319,0.44463897
8349.141513,0.45686029
8349.350774,0.47300624
8349.577001,0.48705561
8349.803228,0.49994241
8349.94462,0.51048269
8350.142569,0.52337813
8350.344557,0.53624927
8350.562705,0.54912194
8350.815594,0.56248678
8351.012129,0.57375738
8351.136352,0.58625079
8351.443375,0.60062191
8351.627184,0.61406612
8351.853412,0.62676979
8352.020254,0.63991292
8352.250595,0.65398676
8352.521994,0.67087995
8352.659346,0.68480081
8352.930819,0.69662207
8353.089178,0.71162244
8353.239053,0.72375716
8353.429932,0.73628465
8353.564255,0.74917409
8353.737067,0.76215358
8353.903595,0.77808808
8354.133862,0.792315
8354.242936,0.80609342
8354.471734,0.82021941
8354.69539,0.8366743
8354.943612,0.85266405
8355.119566,0.86467592
8355.374072,0.87660016
8355.600299,0.88660317
8356.29312,0.89289097
8356.797418,0.89164232
8356.891679,0.88153997
8357.268724,0.87755703
8357.494952,0.86715891
8357.721179,0.85695956
8357.928554,0.84335344
8358.127359,0.83003982
8358.281091,0.81758143
8358.468985,0.80454385
8358.620432,0.7928798
8358.824036,0.77931365
8358.993707,0.76733877
8359.153951,0.7554062
8359.350014,0.74317023
8359.593209,0.73002265
8359.870337,0.71485602
8360.102848,0.70375848
8360.399914,0.69086531
8360.718689,0.67978012
8361.2277,0.66762557
8361.793268,0.65663285
8362.415393,0.64853664
8363.037517,0.64359874
8363.659642,0.64049924
8364.281767,0.63763544
8364.903891,0.63345175
8365.526016,0.62997515
8366.148141,0.62720563
8366.770266,0.62490749
8367.39239,0.62251508
8368.014515,0.62370521
8368.63664,0.62531959
8369.258764,0.62797102
8369.880889,0.63203662
8370.503014,0.63619649
8371.125139,0.63974356
8371.747263,0.64041517
8372.369388,0.63967261
8372.991513,0.63709164
8373.613637,0.63342648
8374.235762,0.62764008
8374.857887,0.6217594
8375.480012,0.61536019
8376.102136,0.60811248
8376.724261,0.60143044
8377.346386,0.59342852
8377.96851,0.58509662
8378.590635,0.5774718
8379.21276,0.56989413
8379.834885,0.56297639
8380.457009,0.55634149
8381.079134,0.55060223
8381.701259,0.54538149
8382.323383,0.54105638
8382.945508,0.53701411
8383.369684,0.53468548
8383.699599,0.53584761
8384.029513,0.5376461
8384.359428,0.53879761
8384.981553,0.53664089
8385.603677,0.53443703
8386.225802,0.53327023
8386.847927,0.5330462
8387.470051,0.5328693
8388.092176,0.53288097
8388.714301,0.53317546
8389.336426,0.53389421
8389.95855,0.53612139
8390.580675,0.53896138
8391.2028,0.54100001
8391.824924,0.54369858
8392.447049,0.54597291
8393.069174,0.54895431
8393.691299,0.55193572
8394.313423,0.55472857
8394.935548,0.55841705
8395.557673,0.56196412
8396.179797,0.56602972
8396.801922,0.57004818
8397.424047,0.57477372
8398.046172,0.57973495
8398.668296,0.58526185
8399.092472,0.5908761
