energy_eV,intensity
8341.33102,0.14780629
8341.83579,0.15644857
8342.252896,0.16726902
8342.563959,0.17851588
8342.846742,0.19119465
8343.07297,0.20286559
8343.24264,0.21446205
8343.41231,0.22553998
8343.581981,0.23627223
8343.751651,0.25046132
8343.921322,0.26395904
8344.090992,0.27486413
8344.260662,0.28767049
8344.430333,0.30064968
8344.628281,0.31155744
8344.854509,0.32389383
8345.109014,0.33649215
8345.391798,0.34813387
8345.70286,0.36057333
8346.013923,0.37204488
8346.296707,0.38399771
8346.579491,0.39563943
8346.833996,0.40834146
8347.060223,0.421326
8347.286451,0.43236607
8347.484399,0.4443973
8347.682348,0.45664459
8347.908575,0.46911061
8348.134803,0.48455815
8348.36103,0.49857974
8348.587257,0.51299023
8348.785206,0.52610173
8348.954876,0.53735251
8349.152825,0.54998869
8349.350774,0.56452614
8349.520444,0.57560407
8349.690114,0.58771906
8349.859785,0.60156246
8350.001177,0.61229204
8350.142569,0.62647846
8350.312239,0.64049471
8350.481909,0.65572085
8350.613875,0.66921501
8350.736415,0.68288112
8350.849529,0.69404012
8350.990921,0.70727591
8351.132313,0.7254377
8351.245426,0.73815228
8351.386818,0.75501776
8351.556488,0.76893524
8351.641324,0.78252371
8351.782716,0.79643852
8351.895829,0.81193092
8352.037221,0.82274692
8352.150335,0.83442445
8352.423693,0.84810482
8352.593363,0.86004696
8352.800738,0.8696689
8352.94617,0.88109297
8353.11887,0.89427616
8353.435914,0.90570373
8353.911037,0.91408915
8354.458287,0.91441588
8354.563425,0.90767833
8355.006453,0.90590536
8355.204402,0.89704043
8355.40235,0.88643053
8355.600299,0.87482655
8355.798248,0.86297942
8355.996197,0.85164006
8356.222424,0.83934644
8356.476929,0.82622586
8356.703157,0.81394088
8356.872827,0.80341355
8357.070776,0.79262963
8357.297003,0.78007674
8357.551508,0.76638578
8357.806014,0.75329112
8358.06052,0.74030016
8358.343304,0.72808967
8358.626087,0.71556806
8358.93715,0.70370592
8359.248212,0.69208576
8359.559275,0.68190019
8359.959212,0.66938225
8360.379348,0.65808846
8360.803524,0.64779506
8361.284257,0.63617365
8361.821546,0.62481686
8362.387114,0.61346273
8362.98096,0.60281836
8363.603085,0.59250664
8364.22521,0.58644526
8364.847335,0.57942539
8365.469459,0.57748079
8366.091584,0.57398062
8366.713709,0.57460509
8367.335833,0.57937777
8367.957958,0.58551747
8368.580083,0.59307133
8369.202208,0.59925817
8369.824332,0.60417227
8370.446457,0.60720081
8371.068582,0.60754244
8371.690706,0.60562142
8372.312831,0.60238051
8372.934956,0.59772543
8373.557081,0.59259897
8374.179205,0.58671829
8374.80133,0.57994197
8375.423455,0.57278854
8376.045579,0.56511659
8376.667704,0.55749177
8377.289829,0.55000837
8377.911954,0.54393914
8378.534078,0.53852984
8379.156203,0.53363908
8379.778328,0.53035103
8380.400452,0.52810003
8381.022577,0.52759316
8381.644702,0.52765197
8382.172565,0.52822039
8382.775838,0.52983298
8383.105281,0.53327605
8383.434724,0.53735559
8383.764168,0.54159392
8384.093611,0.54551333
8384.698769,0.55085007
8385.320893,0.55675408
8385.943018,0.56270522
8386.565143,0.56719507
8387.187268,0.57135494
8387.809392,0.57424207
8388.431517,0.57646926
8389.053642,0.57761225
8389.675766,0.57776533
8390.297891,0.57909688
8390.920016,0.57962707
8391.542141,0.58110003
8392.164265,0.58304438
8392.78639,0.58522443
8393.408515,0.58759303
8394.030639,0.59024446
8394.652764,0.59317873
8395.274889,0.59625441
8395.897013,0.59999004
8396.519138,0.60396136
8397.141263,0.60849834
8397.763388,0.61355385
8398.385512,0.61903361
8398.894523,0.62328381
