energy_eV,intensity
8328.481317,0.10101801
8329.103442,0.1013125
8329.725567,0.101607
8330.347691,0.10176008
8330.969816,0.10200743
8331.591941,0.1026319
8332.214066,0.10349206
8332.83619,0.10435222
8333.458315,0.10568377
8334.08044,0.1071096
8334.702564,0.11004386
8335.324689,0.11448657
8335.946814,0.12001347
8336.568939,0.12525753
8337.191063,0.12682478
8337.813188,0.12636505
8338.435313,0.12656527
8339.057437,0.12789682
8339.679562,0.12955834
8340.301687,0.131267
8340.923812,0.13415412
8341.545936,0.13817258
8342.168061,0.1436052
8342.790186,0.15040485
8343.41231,0.15942001
8344.004493,0.16841571
8344.47477,0.18094837
8344.800523,0.19278405
8345.114156,0.20459838
8345.496832,0.21800849
8345.792409,0.23177121
8346.035675,0.24444159
8346.287281,0.25744182
8346.535986,0.27017588
8346.720883,0.28209553
8346.930143,0.29321177
8347.135633,0.30531286
8347.358234,0.3185962
8347.612938,0.33149641
8347.814314,0.34387758
8348.040541,0.35638681
8348.266768,0.36988988
8348.492996,0.38291763
8348.683403,0.3949568
8348.913744,0.40737135
8349.079301,0.41962422
8349.299872,0.43157117
8349.463887,0.44360496
8349.644869,0.45493747
8349.814539,0.46693146
8350.038881,0.48084917
8350.265108,0.49525966
8350.481909,0.50877362
8350.71285,0.52304314
8350.889118,0.53521924
8351.119459,0.54715769
8351.27936,0.55957502
8351.515356,0.5736871
8351.79814,0.58653557
8351.924108,0.59860321
8352.189925,0.61068407
8352.420265,0.62246697
8352.585822,0.63436629
8352.806394,0.6463651
8352.970408,0.65849107
8353.1118,0.6698184
8353.290897,0.68104846
8353.496386,0.69263102
8353.64909,0.7052645
8353.832899,0.71834716
8354.024788,0.73322972
8354.175068,0.74724414
8354.353479,0.75925781
8354.469163,0.77200564
8354.627522,0.7836356
8354.816216,0.79592837
8354.921618,0.80800533
8355.079977,0.81904186
8355.204402,0.83087602
8355.345794,0.84233153
8355.526775,0.85449944
8355.732265,0.86760301
8355.934927,0.88140633
8356.246352,0.8966359
8356.533486,0.90921846
8357.148957,0.91514649
8357.586856,0.91064315
8357.777736,0.89944217
8357.991843,0.88668107
8358.214765,0.87287364
8358.354615,0.86150757
8358.534727,0.84918765
8358.671333,0.83555933
8358.885306,0.82309171
8358.993707,0.81054498
8359.205795,0.79503516
8359.403743,0.77872029
8359.601692,0.76473879
8359.796813,0.7519237
8359.955172,0.74007738
8360.173687,0.72836638
8360.35364,0.71593875
8360.569585,0.70422161
8360.85751,0.69255841
8361.171143,0.68044511
8361.506133,0.6700185
8362.132609,0.6596818
8362.754733,0.65271693
8363.376858,0.64966457
8363.998983,0.6464708
8364.621107,0.64436122
8365.243232,0.64206308
8365.865357,0.63929356
8366.487482,0.63671259
8367.109606,0.63455587
8367.731731,0.63324765
8368.353856,0.63321217
8368.97598,0.63449658
8369.598105,0.63771368
8370.22023,0.6425335
8370.842355,0.64725904
8371.464479,0.6516546
8372.086604,0.65416462
8372.708729,0.65384631
8373.330853,0.65183101
8373.952978,0.6471288
8374.575103,0.64129525
8375.197228,0.63461321
8375.819352,0.62750692
8376.441477,0.61992925
8377.063602,0.61145593
8377.685726,0.60260551
8378.307851,0.59375509
8378.929976,0.5849518
8379.552101,0.57638421
8380.174225,0.56833515
8380.79635,0.56099316
8381.418475,0.5544054
8382.040599,0.54899611
8382.662724,0.54396392
8383.284849,0.53978024
8383.906974,0.53573797
8384.529098,0.53235564
8385.151223,0.52878475
8385.773348,0.52577954
8386.395472,0.5234814
8387.017597,0.52160751
8387.639722,0.52062926
8388.261847,0.52007526
8388.883971,0.52074687
8389.506096,0.52188986
8390.128221,0.52359852
8390.750345,0.52577857
8391.37247,0.52843
8391.994595,0.5316471
8392.61672,0.53481706
8393.238844,0.53812843
8393.860969,0.54181692
8394.483094,0.54536399
8395.105218,0.54867537
8395.727343,0.55255241
8396.349468,0.5562409
8396.971593,0.56049505
8397.593717,0.56512631
8398.215842,0.57018182
8398.837967,0.57603869
8399.177307,0.57597648
