energy_eV,intensity
8336.908279,0.1217542
8337.473847,0.12213763
8337.799049,0.12367191
8338.12425,0.12523002
8338.449452,0.12681449
8338.774653,0.12842789
8339.099855,0.13007276
8339.425057,0.13175164
8339.750258,0.13346708
8340.07546,0.13522164
8340.400661,0.13701784
8340.725863,0.13885825
8341.051064,0.14074541
8341.376266,0.14268187
8341.998391,0.14943437
8342.592237,0.15907381
8343.07297,0.16926014
8343.497146,0.18104115
8343.91618,0.1942089
8344.209761,0.20662001
8344.497173,0.2186817
8344.755534,0.23033368
8345.024179,0.24189628
8345.236267,0.25561406
8345.510053,0.26742463
8345.741422,0.28069249
8345.979989,0.2939516
8346.217527,0.30579646
8346.434957,0.31841144
8346.680036,0.33036071
8346.941454,0.34314693
8347.173337,0.3570135
8347.427843,0.37015627
8347.666638,0.38271812
8347.897264,0.3949862
8348.156797,0.41046034
8348.389308,0.4238817
8348.587257,0.43566499
8348.793285,0.44789761
8348.954876,0.45981121
8349.203726,0.47361457
8349.435609,0.48941265
8349.677546,0.50342853
8349.884023,0.51739064
8350.086012,0.53034326
8350.276891,0.54212259
8350.494478,0.5550127
8350.679858,0.56828145
8350.872151,0.57965535
8351.028625,0.59182094
8351.247997,0.60548049
8351.437719,0.61896125
8351.624357,0.63157908
8351.869726,0.64681105
8351.945316,0.66063393
8352.222118,0.67228064
8352.409553,0.68669967
8352.461397,0.69948885
8352.618499,0.71059852
8352.873454,0.7247504
8353.055243,0.74378227
8353.272044,0.76113019
8353.451141,0.77277795
8353.667942,0.78427084
8353.870175,0.80229696
8354.129823,0.81649554
8354.339083,0.82851272
8354.491158,0.8395749
8354.751947,0.85230025
8355.012737,0.86482714
8355.260958,0.87723762
8355.543742,0.88685709
8355.761703,0.8875514
8355.979665,0.88760741
8356.197626,0.88698388
8356.415587,0.88563959
8356.633548,0.88353333
8357.111173,0.86887163
8357.461018,0.85768972
8357.730605,0.84500554
8357.86964,0.83347427
8357.959974,0.82091574
8358.135929,0.80779637
8358.371582,0.79577731
8358.541252,0.78343514
8358.64494,0.77376578
8358.880593,0.76078168
8359.10278,0.74752471
8359.276491,0.73580021
8359.474439,0.72512431
8359.781462,0.71151423
8360.110703,0.69820811
8360.464183,0.68423267
8360.831802,0.67367878
8361.312535,0.66222857
8361.906381,0.6519768
8362.528506,0.64482337
8363.150631,0.63969429
8363.80669,0.6337219
8364.375085,0.62912951
8364.995252,0.62418614
8365.63913,0.61994528
8366.261254,0.61741145
8366.883379,0.61610323
8367.505504,0.61682198
8368.127629,0.6195516
8368.749753,0.62236256
8369.371878,0.62566967
8369.994003,0.62960058
8370.616127,0.63332177
8371.238252,0.63589486
8371.860377,0.63561771
8372.482502,0.63430948
8373.074173,0.63117776
8373.726751,0.62655492
8374.348876,0.62081565
8374.96665,0.61438581
8375.567022,0.6080664
8376.056891,0.60175705
8376.624455,0.59527435
8377.248155,0.58747612
8377.880533,0.57916414
8378.44758,0.57213368
8379.099646,0.56582277
8379.721771,0.55940336
8380.343896,0.55392448
8380.96602,0.5492308
8381.588145,0.54438088
8382.21027,0.54024433
8382.832395,0.53672059
8383.284849,0.53465154
8383.590256,0.53518759
8383.895662,0.53607582
8384.201069,0.53708664
8384.506476,0.53799041
8384.811882,0.53855754
8385.434007,0.53691935
8386.056132,0.53608252
8386.678256,0.53642415
8387.300381,0.53667151
8387.922506,0.53823875
8388.544631,0.54051307
8389.145003,0.54048642
8389.78888,0.54272424
8390.411005,0.5443663
8391.033129,0.54543859
8391.655254,0.54790147
8392.277379,0.55055552
8392.899504,0.55285079
8393.521628,0.55578506
8394.143753,0.55876646
8394.765878,0.5622664
8395.388002,0.56571919
8396.010127,0.56973765
8396.632252,0.57364836
8397.254377,0.57876448
8397.876501,0.58400854
8398.498626,0.58934688
8398.999558,0.59225623
